"observationhashkey","observationtimestamp","observationrecsrc","collectedatsession"
"c7e614c988000c7e22a6380fc0a36b2a","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","2199d9585c235e9a223d84876e8452bd"
"f45f42ae0fc47a3647c4cb1f43187fb4","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","2199d9585c235e9a223d84876e8452bd"
"0758d1715a108b43a4c1b9a5efa0485b","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","2199d9585c235e9a223d84876e8452bd"
"b823376ab07bd33b8b4665d2d3ba7f90","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","714a8ec286456aee637031b467e27988"
"7838e6ce684d1df19409ee40db73e2f7","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","714a8ec286456aee637031b467e27988"
"37066cea6f7d3b9450a3bfe51164e14a","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","714a8ec286456aee637031b467e27988"
"40cf567d9dd4e066643e03775a72a5ab","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","57ac9a0879424f2aef6bcbea13ad965a"
"6fd4369eac5e8204791f311f4e394ecf","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","57ac9a0879424f2aef6bcbea13ad965a"
"4ff169301acc181e8fe677175ae7b0fc","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","57ac9a0879424f2aef6bcbea13ad965a"
"46b60ae9d104bd2fd1b413250b3d7053","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","d0168ea3e337388c8a1299ee6b9e23dd"
"1c1b81675937d9b81e0b7a415285226e","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","d0168ea3e337388c8a1299ee6b9e23dd"
"559857559de44824451eaa7ec55a2cb8","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","d0168ea3e337388c8a1299ee6b9e23dd"
"02af4c64c86309bafa15fea44e319b88","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","c6fc61a107a278a3e564f68e48974cf8"
"e41b83ababf7266c9935b2b569037e9d","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","c6fc61a107a278a3e564f68e48974cf8"
"516f2bc586dc1ff967edad4015684bfc","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","c6fc61a107a278a3e564f68e48974cf8"
"527ae713986df7efa9a98d1c7394fc73","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","811ecfa6cb0830baabd386de9b5b6226"
"04deea41204c30591ee6d2488ae19b0c","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","811ecfa6cb0830baabd386de9b5b6226"
"6a2884aaf99448e6112e79d8a46028aa","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","811ecfa6cb0830baabd386de9b5b6226"
"094e43a6716ac37578def5a0bef5a6e6","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","fc115a3a8080ddfc6b36ba8ddf74116d"
"b0d14bfa121838df6284dc3d84fe6e00","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","fc115a3a8080ddfc6b36ba8ddf74116d"
"d64e985de9d958dd0245ae16d5c9301e","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","fc115a3a8080ddfc6b36ba8ddf74116d"
"362e836f333b4920f1a24fcb3545aa25","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","f86c489cec4e80460169182b9dfeed4e"
"ed14e888ea1cc4709e31880c5aa05d3d","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","f86c489cec4e80460169182b9dfeed4e"
"45346028b6a33c5475a8421ac5efe4ab","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","f86c489cec4e80460169182b9dfeed4e"
"adcd038026fec4b2bf215e10b6b8e2a9","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","17adccffe365a9ce1358aeea9fece506"
"09a38956423f54ac49aff347e00871d4","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","17adccffe365a9ce1358aeea9fece506"
"9ebb7a3dd004cc69fece292bab1b6110","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","17adccffe365a9ce1358aeea9fece506"
"643ad6f9d575d1848161d28bb92f1480","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","1a5709e686cb25150b8114231c3f1885"
"31ac78bfba9706eaed4c7dff906bd205","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","1a5709e686cb25150b8114231c3f1885"
"58baff8e8e891755065f6a53c4c46b4d","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","1a5709e686cb25150b8114231c3f1885"
"e788720b0a17bc9558b51a0237874150","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","e5fed9bf64689cb23f57563b805c0daf"
"5d1ac3c94e2763a7659105b73a035c42","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","e5fed9bf64689cb23f57563b805c0daf"
"d8af9dfd1f181abb1ff77000a8735fc0","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","e5fed9bf64689cb23f57563b805c0daf"
"4e4ab30a7c8aac56f8b922b789cb17e9","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","861e772530cb236203dfb2b78b164186"
"10e7475d42cb893e660ecb549f5d5981","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","861e772530cb236203dfb2b78b164186"
"9eee2f6cdbc6fcee0b1f046f5a8a4552","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","861e772530cb236203dfb2b78b164186"
"600cea8ee8766b31f1adad823ba5c6b1","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","75fbd6d3bb606abd8f7c316ddbff83a0"
"b4bac58e7292ffa620b6228f6dffb6a6","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","75fbd6d3bb606abd8f7c316ddbff83a0"
"fb369d4aa13bdff9754d0e8318f6dddf","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","75fbd6d3bb606abd8f7c316ddbff83a0"
"671be722319acac03e2701bebeca8d72","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","b7ffc7fe56b76955dab317195504facd"
"58eaf113bcd3331c3c51cfa525620842","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","b7ffc7fe56b76955dab317195504facd"
"f879ca6ce05821ba0b4a8f249ca9c83f","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","b7ffc7fe56b76955dab317195504facd"
"215b3c99427c83e5542db0aea07d491e","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","6ef2b6b3ee3e313388c80a4ed3d680b8"
"8379865138e73290a4f90ec48cd18abf","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","6ef2b6b3ee3e313388c80a4ed3d680b8"
"9b77f72fd275e149c27480d5949867ea","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","6ef2b6b3ee3e313388c80a4ed3d680b8"
"edb207a6417ba5f8777f73d3bb6aed04","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","75f73dc4bf61e7f49cc8f399e0a7d190"
"cba9399912cb8c0537688756dff030da","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","75f73dc4bf61e7f49cc8f399e0a7d190"
"c73b8801a13f9489e167d09435860b4e","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","75f73dc4bf61e7f49cc8f399e0a7d190"
"76e530aafa09f8bd9b418073f58692a5","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","f74aab26a5ba8ed30846647361b2d10c"
"93d6d31ebcbf57dc4c8755896074678e","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","f74aab26a5ba8ed30846647361b2d10c"
"e4b20ccd62dc6e8425da9dda54fdfefc","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","f74aab26a5ba8ed30846647361b2d10c"
"a36ea04f84eb6ef5d0e8f8438f6710c5","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","be2e900221b733a2cc8a5e409778d06b"
"e880b34864770a3eb7b86888fc419a7b","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","be2e900221b733a2cc8a5e409778d06b"
"e2008d9614f13800a8eee38dcd7526ef","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","be2e900221b733a2cc8a5e409778d06b"
"91e6eb689e6d74764c3e6191f73ee732","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","7b94e62ddc0dda485ecbe1c3787e1691"
"2e4da8399e2cf97fc177916a5b8be2b4","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","7b94e62ddc0dda485ecbe1c3787e1691"
"cfd670aad1e41fba51b54e6739ea9fe2","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","7b94e62ddc0dda485ecbe1c3787e1691"
"0c9172ac5ed5f02e7842df3f1f9fd86f","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","b0f6be7c7b5a55360bb4cf82db9e8356"
"dad8e5ce45583bd9159be39df55b00bb","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","b0f6be7c7b5a55360bb4cf82db9e8356"
"dcb27fc614353945637d7bcbf206073d","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","b0f6be7c7b5a55360bb4cf82db9e8356"
"64c03cee55960e46d9311f7ee078cfa3","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","bf7273e0d77c0ea9f572f927cfb43aae"
"b2f87febcaba6090390071c8f4f08855","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","bf7273e0d77c0ea9f572f927cfb43aae"
"8a59cf255cf76e7ba9da26608ee2f53b","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","bf7273e0d77c0ea9f572f927cfb43aae"
"585af0ca7ebc498f55956d6a917eb176","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","12efa5b88c14b7c393340f7651cb1d41"
"45ea4ca4d96fe6a160441ac76dda18ea","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","12efa5b88c14b7c393340f7651cb1d41"
"22367c58016e6a33b28f68501b4d9ca0","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","12efa5b88c14b7c393340f7651cb1d41"
"d11c1024064f64dfb1cca3f9084ed0d6","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","d218f06f244abfe9ca8d72c1c29a4ea9"
"018e2a169f686cba4ee1479e2aac89f4","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","d218f06f244abfe9ca8d72c1c29a4ea9"
"6e76dce0dbfbd9f5dc595d1ffac7d48a","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","d218f06f244abfe9ca8d72c1c29a4ea9"
"67f8f0ed78e5024e2390783b4ce29140","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","ab6bce1369f39365518e876f21dc6eb5"
"327a7a376983820a202e81c8f599645f","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","ab6bce1369f39365518e876f21dc6eb5"
"8ecaa6808ac3a900dbc4a1c965be5b62","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","ab6bce1369f39365518e876f21dc6eb5"
"334ffb6072a70b41684b8eeb1367587f","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","98263daa72951f0beb966b179fa4596f"
"de385c5a6bfea59919f2fb4b252efdfc","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","98263daa72951f0beb966b179fa4596f"
"dd2522375a753be5b4ea5890541a9882","30/11/2022 19:36:23.531675","e1523fc1db9119e6942885c28d3c0a9a","98263daa72951f0beb966b179fa4596f"
"55c0ff12542a3109b9d9eea9566a7564","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","a5c6a513ad4d6b7a661dc326772cc16f"
"9dc0cd975c151a0be52e05bf144b5fb5","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","a5c6a513ad4d6b7a661dc326772cc16f"
"823a633f2425b3b6cf12f0cc865b619e","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","a5c6a513ad4d6b7a661dc326772cc16f"
"163bfbe9f33d20496c89395fabb4366a","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","a5c6a513ad4d6b7a661dc326772cc16f"
"9a2949f6e62291581fd3f6071ab7e207","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","a5c6a513ad4d6b7a661dc326772cc16f"
"8313a9fdadf3f43280e33dda02e59f9f","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","a5c6a513ad4d6b7a661dc326772cc16f"
"bf552b7fd1c684a92c74b176baf3a4f8","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","b7ed02edefde306b2d4753011d53abdb"
"98f6cec499610a842b235a0195804d58","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","b7ed02edefde306b2d4753011d53abdb"
"e089477bbcbad42e68dfa50e67a2239a","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","b7ed02edefde306b2d4753011d53abdb"
"9b4fc3446b7b5e901ae2c5920cb4ce8b","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","b7ed02edefde306b2d4753011d53abdb"
"e2ec02dabdef2da229fe2f2b4211bd6c","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","b7ed02edefde306b2d4753011d53abdb"
"e598364c8461a99d9341c9f9cb85f2a6","30/11/2022 19:36:32.127085","9dbe3ce34c8750df0a9d8ce0aeab5da3","b7ed02edefde306b2d4753011d53abdb"
